Pen,Diet,Pig,Sex,IgA 1:100,ng IgA/mL stock,mg prot/ml stock,ng IgA/mg prot,ng IgA/mg dry
2,10,10,F,118.9359587,11893.59587,2.7639896,4303.053772,237.8719175
5,9,,,98.13939862,9813.939862,2.5857176,3795.441491,196.2787972
6,6,,,88.27433723,8827.433723,3.1985276,2759.842911,176.5486745
7,2,,,73.31345282,7331.345282,2.2670564,3233.861002,146.6269056
9,9,,,550.3705012,55037.05012,2.7015944,20372.06256,1100.741002
10,3,,,34.73011489,3473.011489,3.1428176,1105.063014,69.46022978
11,6,,,92.06448451,9206.448451,2.16455,4253.285187,184.128969
13,9,,,63.2309114,6323.09114,2.1890624,2888.492873,126.4618228
14,2,,,53.06333736,5306.333736,1.8325184,2895.650999,106.1266747
15,8,,,76.93700439,7693.700439,2.9712308,2589.398454,153.8740088
16,1,78,M,93.95234048,9395.234048,2.2113464,4248.648718,187.904681
17,8,,,110.8326879,11083.26879,3.0269408,3661.541313,221.6653758
18,1,90,F,43.9465516,4394.65516,2.4119024,1822.070064,87.89310321
19,3,,,32.84303042,3284.303042,1.5428264,2128.757352,65.68606084
20,3,,,44.53329488,4453.329488,2.4252728,1836.217966,89.06658975
21,3,,,29.73287644,2973.287644,2.7573044,1078.331302,59.46575288
23,2,,,35.94967547,3594.967547,1.9550804,1838.78246,71.89935093
24,9,,,20.0072025,2000.72025,1.9127408,1045.996535,40.014405
25,1,125,F,62.19928952,6219.928952,2.7038228,2300.420335,124.398579
26,6,,,92.3382159,9233.82159,1.808006,5107.185258,184.6764318
28,9,,,34.66552157,3466.552157,0.9879548,3508.816554,69.33104313
29,10,145,M,52.81480818,5281.480818,3.0982496,1704.666021,105.6296164
31,6,,,32.31234899,3231.234899,2.0286176,1592.82602,64.62469797
32,1,,,28.39060965,2839.060965,2.8642676,991.1996229,56.7812193
35,9,,,35.1929427,3519.29427,2.8286132,1244.17657,70.38588541
36,6,,,40.05226638,4005.226638,2.0442164,1959.296794,80.10453276
37,3,,,108.3362224,10833.62224,2.2224884,4874.546133,216.6724447
39,1,,,76.14877464,7614.877464,2.3606492,3225.755637,152.2975493
40,9,,,209.1293528,20912.93528,2.3740196,8809.082822,418.2587055
43,6,,,61.43778263,6143.778263,2.7795884,2210.319435,122.8755653
44,8,,,37.66523058,3766.523058,2.6236004,1435.631378,75.33046116
45,1,,,65.9483965,6594.83965,2.6035448,2533.023303,131.896793
46,10,227,F,29.40898885,2940.898885,2.3383652,1257.673047,58.8179777
47,2,,,34.06158827,3406.158827,2.7261068,1249.459055,68.12317654
48,10,239,M,105.7529529,10575.29529,2.1489512,4921.142597,211.5059058
49,3,,,37.4306328,3743.06328,1.8793148,1991.717024,74.86126559
51,10,252,M,51.74698686,5174.698686,2.0575868,2514.935791,103.4939737
52,2,,,72.41037018,7241.037018,3.9071588,1853.274307,144.8207404
53,8,,,118.3694465,11836.94465,2.7449651,4312.238669,236.738893
57,2,,,166.6955238,16669.55238,2.2397697,7442.52964,333.3910476
59,8,,,35.48365435,3548.365435,4.8048082,738.5030343,70.9673087
63,2,,,697.8796958,69787.96958,1.7918645,38947.1244,1395.759392
65,3,,,48.93298666,4893.298666,2.7059036,1808.378786,97.86597333
66,8,,,138.9162849,13891.62849,3.4767172,3995.616465,277.8325698
68,1,336,F,16.37977907,1637.977907,2.4246608,675.5493005,32.75955815
69,1,344,M,20.71386595,2071.386595,2.6980913,767.7229436,41.4277319
70,6,,,84.61671024,8461.671024,2.8777742,2940.35266,169.2334205
71,3,,,410.7501018,41075.01018,3.7032739,11091.53989,821.5002036
72,2,,,59.61628161,5961.628161,2.97673,2002.744005,119.2325632
73,6,,,43.06643271,4306.643271,2.0574827,2093.161353,86.13286543
75,3,,,152.3465061,15234.65061,3.6069222,4223.725871,304.6930122
76,6,,,86.78015822,8678.015822,2.7006954,3213.252343,173.5603164
79,3,,,14.95516946,1495.516946,2.2267492,671.6144532,29.91033893
80,9,,,54.38433509,5438.433509,2.2892476,2375.642333,108.7686702
83,2,,,16.1910867,1619.10867,2.5132002,644.2418196,32.3821734
84,1,,,42.9857145,4298.57145,1.9897761,2160.32922,85.971429
85,8,,,35.48365435,3548.365435,2.1225852,1671.71873,70.9673087
86,6,,,697.8796958,69787.96958,2.9038152,24033.19935,1395.759392
87,8,,,48.93298666,4893.298666,3.1095391,1573.641144,97.86597333
89,2,,,138.9162849,13891.62849,2.0705032,6709.300661,277.8325698
90,8,,,16.37977907,1637.977907,4.070452,402.4068844,32.75955815
91,9,,,20.71386595,2071.386595,1.5939529,1299.528107,41.4277319
92,1,456,M,84.61671024,8461.671024,2.9585013,2860.120773,169.2334205
93,10,465,F,410.7501018,41075.01018,3.7501477,10952.90465,821.5002036
94,9,,,77.82661718,7782.661718,4.1772201,1863.119858,155.6532344
95,8,,,22.51870377,2251.870377,3.3334917,675.5290186,45.03740753
