pen,diet,pig,birth_weight
1,5,1,5.70
1,5,2,5.75
1,5,3,6.85
1,5,4,6.00
1,5,5,5.15
2,10,6,4.90
2,10,7,5.55
2,10,8,6.15
2,10,9,6.35
2,10,10,6.15
3,5,11,5.60
3,5,12,5.65
3,5,13,8.10
3,5,14,7.95
3,5,15,7.45
4,7,16,5.35
4,7,17,5.90
4,7,18,5.50
4,7,19,4.60
4,7,20,3.90
5,9,21,5.25
5,9,22,6.45
5,9,23,4.80
5,9,24,4.05
5,9,25,5.45
6,6,26,5.40
6,6,27,4.95
6,6,28,4.20
6,6,29,3.90
6,6,30,4.35
7,2,31,4.80
7,2,32,6.60
7,2,33,4.50
7,2,34,4.85
7,2,35,3.80
8,7,36,8.40
8,7,37,4.50
8,7,38,4.65
8,7,39,5.00
8,7,40,9.05
9,9,41,7.65
9,9,42,6.35
9,9,43,6.90
9,9,44,6.25
9,9,45,7.95
10,3,46,5.35
10,3,47,4.35
10,3,48,7.40
10,3,49,5.10
10,3,50,7.85
11,6,51,8.10
11,6,52,7.10
11,6,53,7.95
11,6,54,5.15
11,6,55,5.15
12,7,56,6.30
12,7,57,5.50
12,7,58,5.60
12,7,59,4.80
12,7,60,5.60
13,9,61,4.55
13,9,62,4.45
13,9,63,6.95
13,9,64,4.20
13,9,65,6.35
14,2,66,6.40
14,2,67,4.50
14,2,68,7.40
14,2,69,5.69
14,2,70,3.75
15,8,71,5.60
15,8,72,5.05
15,8,73,6.55
15,8,74,6.60
15,8,75,7.00
16,1,76,7.40
16,1,77,5.35
16,1,78,6.90
16,1,79,7.80
16,1,80,4.55
17,8,81,5.55
17,8,82,5.15
17,8,83,8.00
17,8,84,5.50
17,8,85,4.35
18,1,86,3.65
18,1,87,6.65
18,1,88,4.80
18,1,89,4.70
18,1,90,5.25
19,3,91,9.15
19,3,92,5.70
19,3,93,5.60
19,3,94,7.50
19,3,95,5.05
20,3,96,3.60
20,3,97,4.25
20,3,98,5.70
20,3,99,4.50
20,3,100,4.90
21,3,101,7.95
21,3,102,9.40
21,3,103,5.00
21,3,104,7.55
21,3,105,10.60
22,4,106,7.35
22,4,107,4.65
22,4,108,5.90
22,4,109,6.20
22,4,110,3.80
23,2,111,7.15
23,2,112,5.70
23,2,113,6.45
23,2,114,3.95
23,2,115,4.85
24,9,116,6.20
24,9,117,8.15
24,9,118,6.10
24,9,119,7.15
24,9,120,4.55
25,1,121,6.75
25,1,122,7.30
25,1,123,6.80
25,1,124,5.05
25,1,125,7.50
26,6,126,5.25
26,6,127,4.90
26,6,128,3.45
26,6,129,6.60
26,6,130,7.25
27,5,131,8.60
27,5,132,5.85
27,5,133,5.90
27,5,134,6.20
27,5,135,5.25
28,9,136,7.65
28,9,137,5.30
28,9,138,6.75
28,9,139,6.80
28,9,140,5.70
29,10,141,5.40
29,10,142,6.30
29,10,143,6.00
29,10,144,7.75
29,10,145,5.95
30,5,146,4.65
30,5,147,5.60
30,5,148,8.90
30,5,149,5.90
30,5,150,8.20
31,6,151,7.40
31,6,152,6.35
31,6,153,6.40
31,6,154,4.80
31,6,155,4.35
32,1,156,6.60
32,1,157,6.10
32,1,158,8.40
32,1,159,9.55
32,1,160,5.15
33,7,161,4.75
33,7,162,7.40
33,7,163,5.95
33,7,164,4.90
33,7,165,6.30
34,7,166,8.00
34,7,167,6.75
34,7,168,7.15
34,7,169,6.55
34,7,170,6.50
35,9,171,6.65
35,9,172,7.30
35,9,173,7.75
35,9,174,6.10
35,9,175,7.45
36,6,176,6.95
36,6,177,6.35
36,6,178,7.15
36,6,179,6.55
36,6,180,7.95
37,3,181,7.20
37,3,182,6.75
37,3,183,8.55
37,3,184,6.70
37,3,185,7.90
38,7,186,9.20
38,7,187,10.65
38,7,188,8.65
38,7,189,5.45
38,7,190,5.00
39,1,191,8.60
39,1,192,6.45
39,1,193,9.65
39,1,194,8.80
39,1,195,7.90
40,9,196,5.40
40,9,197,6.25
40,9,198,6.50
40,9,199,4.60
40,9,200,7.30
41,4,201,6.10
41,4,202,4.15
41,4,203,5.60
41,4,204,4.90
41,4,205,6.95
42,7,206,6.50
42,7,207,4.65
42,7,208,6.85
42,7,209,4.70
42,7,210,5.00
43,6,211,6.15
43,6,212,8.10
43,6,213,7.50
43,6,214,7.85
43,6,215,6.25
44,8,216,7.40
44,8,217,5.40
44,8,218,6.95
44,8,219,6.15
44,8,220,7.50
45,1,221,5.65
45,1,222,7.05
45,1,223,5.35
45,1,224,4.90
45,1,225,5.00
46,10,226,5.90
46,10,227,9.80
46,10,228,7.00
46,10,229,8.75
46,10,230,6.80
47,2,231,4.80
47,2,232,5.85
47,2,233,7.15
47,2,234,6.55
47,2,235,6.30
48,10,236,8.15
48,10,237,5.75
48,10,238,7.25
48,10,239,5.50
48,10,240,8.90
49,3,241,9.35
49,3,242,4.85
49,3,243,6.95
49,3,244,6.75
49,3,245,6.80
50,4,246,7.40
50,4,247,8.96
50,4,248,6.10
50,4,249,4.60
50,4,250,6.15
51,10,251,5.00
51,10,252,4.70
51,10,253,7.45
51,10,254,6.50
51,10,255,6.90
52,2,256,7.80
52,2,257,5.50
52,2,258,4.85
52,2,259,8.30
52,2,260,7.85
53,8,261,5.75
53,8,262,5.50
53,8,263,7.55
53,8,264,8.70
53,8,265,7.60
54,5,266,5.25
54,5,267,5.70
54,5,268,4.30
54,5,269,8.90
54,5,270,4.75
55,4,271,8.75
55,4,272,6.70
55,4,273,7.25
55,4,274,6.25
55,4,275,5.45
56,4,276,4.90
56,4,277,9.55
56,4,278,5.20
56,4,279,7.80
56,4,280,6.65
57,2,281,7.85
57,2,282,5.30
57,2,283,6.25
57,2,284,8.10
57,2,285,4.85
58,7,286,8.40
58,7,287,7.20
58,7,288,5.95
58,7,289,5.75
58,7,290,9.80
59,8,291,6.00
59,8,292,8.45
59,8,293,6.20
59,8,294,9.65
59,8,295,7.35
60,4,296,6.10
60,4,297,7.55
60,4,298,5.15
60,4,299,6.25
60,4,300,6.35
61,5,301,6.70
61,5,302,7.95
61,5,303,7.10
61,5,304,7.10
61,5,305,4.75
62,7,306,7.64
62,7,307,5.70
62,7,308,5.95
62,7,309,6.50
62,7,310,8.55
63,2,311,7.80
63,2,312,6.15
63,2,313,5.10
63,2,314,6.70
63,2,315,6.20
64,7,316,6.70
64,7,317,6.95
64,7,318,7.00
64,7,319,6.80
64,7,320,4.85
65,3,321,6.70
65,3,322,7.05
65,3,323,8.95
65,3,324,6.00
65,3,325,5.50
66,8,326,8.25
66,8,327,7.30
66,8,328,5.15
66,8,329,4.90
66,8,330,7.50
67,4,331,4.60
67,4,332,6.10
67,4,333,7.65
67,4,334,5.00
67,4,335,7.05
68,1,336,5.60
68,1,337,6.45
68,1,338,8.35
68,1,339,4.60
68,1,340,7.20
69,1,341,5.55
69,1,342,4.80
69,1,343,5.35
69,1,344,7.50
69,1,345,6.60
70,6,346,8.60
70,6,347,5.90
70,6,348,5.95
70,6,349,5.40
70,6,350,4.45
71,3,351,3.90
71,3,352,6.40
71,3,353,5.75
71,3,354,6.65
71,3,355,6.05
72,2,356,6.65
72,2,357,6.90
72,2,358,9.40
72,2,359,5.45
72,2,360,6.15
73,6,361,5.65
73,6,362,7.75
73,6,363,6.40
73,6,364,7.05
73,6,365,6.40
74,4,366,9.00
74,4,367,6.60
74,4,368,7.80
74,4,369,6.45
74,4,370,6.50
75,3,371,6.70
75,3,372,5.75
75,3,373,5.05
75,3,374,4.95
75,3,375,4.65
76,6,376,7.05
76,6,377,6.15
76,6,378,5.60
76,6,379,5.75
76,6,380,6.85
77,4,381,6.60
77,4,382,5.90
77,4,383,10.00
77,4,384,9.80
77,4,385,5.55
78,5,386,5.60
78,5,387,4.65
78,5,388,4.40
78,5,389,4.65
78,5,390,6.95
79,3,391,5.65
79,3,392,6.05
79,3,393,6.00
79,3,394,6.45
79,3,395,6.70
80,9,396,8.40
80,9,397,8.15
80,9,398,8.65
80,9,399,6.70
80,9,400,7.05
81,5,401,4.85
81,5,402,4.15
81,5,403,4.80
81,5,404,4.80
81,5,405,3.95
82,5,406,9.40
82,5,407,7.80
82,5,408,6.30
82,5,409,8.50
82,5,410,7.90
83,2,411,8.20
83,2,412,6.25
83,2,413,7.35
83,2,414,7.20
83,2,415,7.65
84,1,416,5.10
84,1,417,5.70
84,1,418,5.60
84,1,419,6.10
84,1,420,4.90
85,8,421,5.10
85,8,422,5.80
85,8,423,5.00
85,8,424,5.15
85,8,425,5.50
86,6,426,8.05
86,6,427,7.50
86,6,428,7.60
86,6,429,7.62
86,6,430,6.85
87,8,431,6.95
87,8,432,7.50
87,8,433,7.05
87,8,434,7.80
87,8,435,6.95
88,5,436,6.10
88,5,437,5.85
88,5,438,7.55
88,5,439,9.25
88,5,440,6.65
89,2,441,8.20
89,2,442,7.90
89,2,443,6.80
89,2,444,6.55
89,2,445,7.85
90,8,446,6.15
90,8,447,6.80
90,8,448,6.00
90,8,449,7.05
90,8,450,5.15
91,9,451,7.35
91,9,452,5.15
91,9,453,5.95
91,9,454,4.85
91,9,455,5.15
92,1,456,8.20
92,1,457,6.15
92,1,458,6.80
92,1,459,7.05
92,1,460,6.50
93,10,461,4.90
93,10,462,5.60
93,10,463,3.80
93,10,464,4.10
93,10,465,5.70
94,9,466,7.00
94,9,467,7.40
94,9,468,6.25
94,9,469,7.00
94,9,470,5.75
95,8,471,5.25
95,8,472,5.70
95,8,473,4.45
95,8,474,5.05
95,8,475,4.90
96,4,476,5.35
96,4,477,5.35
96,4,478,5.25
96,4,479,5.50
96,4,480,4.75
