96_well,well,pen,pig
A1,1,2,
B1,2,20,
C1,3,44,
D1,4,45,
E1,5,76,
F1,6,95,
G1,7,,
H1,8,,
A11,9,18,
A12,10,19,
A2,11,5,
B2,12,21,
C2,13,46,
D2,14,48,
E2,15,79,
F2,16,57,
G2,17,,
H2,18,,
B11,19,37,
B12,20,39,
A3,21,6,
B3,22,24,
C3,23,53,
D3,24,49,
E3,25,80,
F3,26,63,
G3,27,,
H3,28,,
C11,29,40,
C12,30,43,
A4,31,9,
B4,32,25,
C4,33,59,
D4,34,51,
E4,35,84,
F4,36,72,
G4,37,,
H4,38,,
D11,39,73,
D12,40,75,
A5,41,10,
B5,42,26,
C5,43,7,
D5,44,65,
E5,45,85,
F5,46,83,
G5,47,,
H5,48,,
E11,49,93,
E12,50,94,
A6,51,11,
B6,52,28,
C6,53,14,
D6,54,66,
E6,55,86,
F6,56,89,
G6,57,,
H6,58,,
F11,59,,
F12,60,,
A7,61,13,
B7,62,29,
C7,63,23,
D7,64,68,
E7,65,87,
F7,66,,
G7,67,,
H7,68,,
G11,69,,
G12,70,,
A8,71,15,
B8,72,31,
C8,73,47,
D8,74,69,
E8,75,90,
F8,76,,
G8,77,,
H8,78,,
H11,79,,
H12,80,,
A9,81,16,
B9,82,32,
C9,83,52,
D9,84,70,
E9,85,91,
F9,86,,
G9,87,,
H9,88,,
,89,,
,90,,
A10,91,17,
B10,92,36,
C10,93,35,
D10,94,71,
E10,95,92,
F10,96,,
G10,97,,
H10,98,,
,99,,
,100,,
A1,101,,224
B1,102,,244
C1,103,,211
D1,104,,326
E1,105,,175
F1,106,,8
G1,107,,
H1,108,,
A11,109,,
A12,110,,
A2,111,,337
B2,112,,321
C2,113,,348
D2,114,,422
E2,115,,397
F2,116,,141
G2,117,,
H2,118,,
B11,119,,
B12,120,,
A3,121,,345
B3,122,,355
C3,123,,361
D3,124,,432
E3,125,,453
F3,126,,273
G3,127,,
H3,128,,
C11,129,,
C12,130,,
A4,131,,458
B4,132,,373
C4,133,,378
D4,134,,450
E4,135,,469
F4,136,,226
G4,137,,
H4,138,,
D11,139,,
D12,140,,
A5,141,,419
B5,142,,392
C5,143,,426
D5,144,,472
E5,145,,198
F5,146,,461
G5,147,,
H5,148,,
E11,149,,
E12,150,,
A6,151,,77
B6,152,,50
C6,153,,26
D6,154,,74
E6,155,,22
F6,156,,6
G6,157,,
H6,158,,
F11,159,,
F12,160,,
A7,161,,87
B7,162,,93
C7,163,,52
D7,164,,83
E7,165,,43
F7,166,,144
G7,167,,
H7,168,,
G11,169,,
G12,170,,
A8,171,,122
B8,172,,97
C8,173,,126
D8,174,,219
E8,175,,65
F8,176,,228
G8,177,,
H8,178,,
H11,179,,
H12,180,,
A9,181,,160
B9,182,,181
C9,183,,152
D9,184,,265
E9,185,,119
F9,186,,240
G9,187,,
H9,188,,
,189,,
,190,,
A10,191,,191
B10,192,,101
C10,193,,178
D10,194,,295
E10,195,,138
F10,196,,253
G10,197,,
H10,198,,
,199,,
,200,,
